# TITANIUM (Ti)
# Temperature	dH	H	dS	S
500.0	4.684	478.314	12.04	192.34
600.0	6.896	480.526	16.074	196.374
700.0	9.072	482.702	19.429	199.729
800.0	11.226	484.856	22.305	202.605
900.0	13.366	486.996	24.826	205.126
1000.0	15.499	489.129	27.073	207.373
1100.0	17.633	491.263	29.107	209.407
1200.0	19.774	493.404	30.97	211.27
1300.0	21.93	495.56	32.696	212.996
1400.0	24.107	497.737	34.309	214.609
1500.0	26.314	499.944	35.832	216.132
1600.0	28.555	502.185	37.278	217.578
1700.0	30.836	504.466	38.661	218.961
1800.0	33.162	506.792	39.99	220.29
1900.0	35.537	509.167	41.274	221.574
2000.0	37.963	511.593	42.518	222.818
2100.0	40.443	514.073	43.728	224.028
2200.0	42.979	516.609	44.908	225.208
2300.0	45.573	519.203	46.061	226.361
2400.0	48.225	521.855	47.189	227.489
2500.0	50.937	524.567	48.296	228.596
2600.0	53.709	527.339	49.383	229.683
2700.0	56.541	530.171	50.452	230.752
2800.0	59.434	533.064	51.504	231.804
2900.0	62.388	536.018	52.541	232.841
3000.0	65.403	539.033	53.563	233.863
