# TITANIUM OXIDE (TiO)
# Temperature	dH	H	dS	S
500.0	6.855	61.245	17.508	250.968
600.0	10.431	64.821	24.025	257.485
700.0	14.081	68.471	29.65	263.11
800.0	17.782	72.172	34.591	268.051
900.0	21.519	75.909	38.993	272.453
1000.0	25.283	79.673	42.958	276.418
1100.0	29.066	83.456	46.564	280.024
1200.0	32.865	87.255	49.87	283.33
1300.0	36.676	91.066	52.92	286.38
1400.0	40.496	94.886	55.751	289.211
1500.0	44.324	98.714	58.392	291.852
1600.0	48.16	102.55	60.867	294.327
1700.0	52.001	106.391	63.196	296.656
1800.0	55.85	110.24	65.396	298.856
1900.0	59.705	114.095	67.48	300.94
2000.0	63.568	117.958	69.462	302.922
2100.0	67.439	121.829	71.35	304.81
2200.0	71.321	125.711	73.156	306.616
2300.0	75.213	129.603	74.886	308.346
2400.0	79.12	133.51	76.549	310.009
2500.0	83.04	137.43	78.149	311.609
2600.0	86.978	141.368	79.694	313.154
2700.0	90.934	145.324	81.187	314.647
2800.0	94.911	149.301	82.633	316.093
2900.0	98.91	153.3	84.036	317.496
3000.0	102.932	157.322	85.4	318.86
