# TITANIUM DIOXIDE (TiO2)
# Temperature	dH	H	dS	S
500.0	9.606	-295.824	24.472	284.612
600.0	14.746	-290.684	33.839	293.979
700.0	20.044	-285.386	42.003	302.143
800.0	25.452	-279.978	49.223	309.363
900.0	30.942	-274.488	55.688	315.828
1000.0	36.491	-268.939	61.534	321.674
1100.0	42.086	-263.344	66.866	327.006
1200.0	47.716	-257.714	71.765	331.905
1300.0	53.373	-252.057	76.293	336.433
1400.0	59.052	-246.378	80.502	340.642
1500.0	64.75	-240.68	84.433	344.573
1600.0	70.462	-234.968	88.119	348.259
1700.0	76.187	-229.243	91.59	351.73
1800.0	81.922	-223.508	94.868	355.008
1900.0	87.666	-217.764	97.973	358.113
2000.0	93.417	-212.013	100.923	361.063
2100.0	99.175	-206.255	103.733	363.873
2200.0	104.94	-200.49	106.414	366.554
2300.0	110.71	-194.72	108.979	369.119
2400.0	116.485	-188.945	111.437	371.577
2500.0	122.266	-183.164	113.797	373.937
2600.0	128.052	-177.378	116.066	376.206
2700.0	133.843	-171.587	118.252	378.392
2800.0	139.641	-165.789	120.36	380.5
2900.0	145.445	-159.985	122.397	382.537
3000.0	151.256	-154.174	124.367	384.507
