#molecule	total_T_interval	n_T_interval	T_i	T_f	a1	a2	a3	a4	a5	a6	a7	b1	b2
H2	3	1	200.	1000.0007	4.078323210e+04	-8.009186040e+02	8.214702010e+00	-1.269714457e-02	1.753605076e-05	-1.202860270e-08	3.368093490e-12	2.682484665e+03	-3.043788844e+01
H2	3	2	1000.	6000.0007	5.608128010e+05	-8.371504740e+02	2.975364532e+00	1.252249124e-03	-3.740716190e-07	5.936625200e-11	-3.606994100e-15	5.339824410e+03	-2.202774769e+00
H2	3	3	6000.	20000.0007	4.966884120e+08	-3.147547149e+05	7.984121880e+01	-8.414789210e-03	4.753248350e-07	-1.371873492e-11	1.605461756e-16	2.488433516e+06	-6.695728110e+02
CH4	2	1	200.	1000.0007	-1.766850998e+05	2.786181020e+03	-1.202577850e+01	3.917619290e-02	-3.619054430e-05	2.026853043e-08	-4.976705490e-12	-2.331314360e+04	8.904322750e+01
CH4	2	2	1000.	6000.0007	3.730042760e+06	-1.383501485e+04	2.049107091e+01	-1.961974759e-03	4.727313040e-07	-3.728814690e-11	1.623737207e-15	7.532066910e+04	-1.219124889e+02
H2O	2	1	200.	1000.0007	-3.947960830e+04	5.755731020e+02	9.317826530e-01	7.222712860e-03	-7.342557370e-06	4.955043490e-09	-1.336933246e-12	-3.303974310e+04	1.724205775e+01
H2O	2	2	1000.	6000.0007	1.034972096e+06	-2.412698562e+03	4.646110780e+00	2.291998307e-03	-6.836830480e-07	9.426468930e-11	-4.822380530e-15	-1.384286509e+04	-7.978148510e+00
CO	3	1	200.	1000.0007	1.489045326e+04	-2.922285939e+02	5.724527170e+00	-8.176235030e-03	1.456903469e-05	-1.087746302e-08	3.027941827e-12	-1.303131878e+04	-7.859241350e+00
CO	3	2	1000.	6000.0007	4.619197250e+05	-1.944704863e+03	5.916714180e+00	-5.664282830e-04	1.398814540e-07	-1.787680361e-11	9.620935570e-16	-2.466261084e+03	-1.387413108e+01
CO	3	3	6000.	20000.0007	8.868662960e+08	-7.500377840e+05	2.495474979e+02	-3.956351100e-02	3.297772080e-06	-1.318409933e-10	1.998937948e-15	5.701421130e+06	-2.060704786e+03
CO2	3	1	200.	1000.0007	4.943650540e+04	-6.264116010e+02	5.301725240e+00	2.503813816e-03	-2.127308728e-07	-7.689988780e-10	2.849677801e-13	-4.528198460e+04	-7.048279440e+00
CO2	3	2	1000.	6000.0007	1.176962419e+05	-1.788791477e+03	8.291523190e+00	-9.223156780e-05	4.863676880e-09	-1.891053312e-12	6.330036590e-16	-3.908350590e+04	-2.652669281e+01
CO2	3	3	6000.	20000.0007	-1.544423287e+09	1.016847056e+06	-2.561405230e+02	3.369401080e-02	-2.181184337e-06	6.991420840e-11	-8.842351500e-16	-8.043214510e+06	2.254177493e+03
C2H2	2	1	200.	1000.0007	1.598112089e+05	-2.216644118e+03	1.265707813e+01	-7.979651080e-03	8.054992750e-06	-2.433307673e-09	-7.529233180e-14	3.712619060e+04	-5.244338900e+01
C2H2	2	2	1000.	6000.0007	1.713847410e+06	-5.929106660e+03	1.236127943e+01	1.314186993e-04	-1.362764431e-07	2.712655786e-11	-1.302066204e-15	6.266578970e+04	-5.818960590e+01
Ti	3	1	200.	1000.0007	-4.570179400e+04	6.608092020e+02	4.295257490e-01	3.615029910e-03	-3.549792810e-06	1.759952494e-09	-3.052720871e-13	5.270947930e+04	2.026149738e+01
Ti	3	2	1000.	6000.0007	-1.704786714e+05	1.073852803e+03	1.181955014e+00	2.245246352e-04	3.091697848e-07	-5.740027280e-11	2.927371014e-15	4.978069910e+04	1.740431368e+01
Ti	3	3	6000.	20000.0007	1.152797766e+09	-7.222408380e+05	1.777167465e+02	-2.008059096e-02	1.221052354e-06	-3.811452080e-11	4.798092423e-16	5.772614540e+06	-1.518080466e+03
TiO	3	1	200.	1000.0007	-1.168152460e+04	4.542565650e+02	-1.139144613e-01	1.275432333e-02	-1.727656935e-05	1.187369403e-08	-3.236579370e-12	2.924306353e+03	2.702903947e+01
TiO	3	2	1000.	6000.0007	2.330644030e+06	-7.415793860e+03	1.281799311e+01	-4.344555950e-03	1.186303111e-06	-1.367644275e-10	5.703212250e-15	5.144841360e+04	-5.793994240e+01
TiO	3	3	6000.	20000.0007	1.660288147e+08	-1.051853502e+05	2.749141313e+01	-1.681501753e-03	4.884078370e-08	-4.721389750e-13	-2.405919722e-18	8.399156070e+05	-2.030813444e+02
TiO2	2	1	200.	1000.0007	-1.710545601e+03	2.721435528e+02	5.961378960e-01	1.925463599e-02	-2.665500165e-05	1.811109197e-08	-4.876710470e-12	-3.912241770e+04	2.408605889e+01
TiO2	2	2	1000.	6000.0007	1.546299764e+05	-1.046256880e+03	7.788985830e+00	-1.546805714e-04	-7.059935950e-08	3.100244802e-11	-2.494725430e-15	-3.266336750e+04	-1.591534660e+01
